-------,read_c_file,Buff,BuffDB,dbAppend,makeBuff,makeZBuff,catBuffs,maxBuff,minBuff,normCompDist,makeDB,writeDB,crawl_dir,main
read_c_file,0.038889,0.922222,0.925000,0.869444,0.850000,0.844444,0.866667,0.905556,0.905556,0.888889,0.861111,0.877778,0.757979,0.875000
Buff,0.919444,0.083333,0.666667,0.844156,0.765625,0.838150,0.800000,0.722222,0.750000,0.853659,0.893004,0.854167,0.920213,0.882051
BuffDB,0.930556,0.649123,0.052632,0.785714,0.757812,0.815029,0.764286,0.694444,0.680556,0.804878,0.831276,0.812500,0.912234,0.856410
dbAppend,0.861111,0.857143,0.792208,0.051948,0.642857,0.676301,0.623377,0.785714,0.785714,0.707317,0.592593,0.538961,0.845745,0.646154
makeBuff,0.858333,0.773438,0.750000,0.655844,0.039062,0.468208,0.478571,0.679688,0.687500,0.695122,0.748971,0.756944,0.832447,0.764103
makeZBuff,0.847222,0.843931,0.832370,0.699422,0.473988,0.057803,0.618497,0.763006,0.763006,0.653179,0.740741,0.797688,0.851064,0.758974
catBuffs,0.872222,0.807143,0.778571,0.662338,0.492857,0.589595,0.028571,0.700000,0.707143,0.664634,0.744856,0.729167,0.848404,0.753846
maxBuff,0.913889,0.750000,0.708333,0.772727,0.671875,0.768786,0.707143,0.055556,0.152778,0.743902,0.851852,0.791667,0.901596,0.851282
minBuff,0.913889,0.750000,0.736111,0.772727,0.679688,0.774566,0.714286,0.152778,0.055556,0.725610,0.855967,0.791667,0.901596,0.851282
normCompDist,0.886111,0.841463,0.804878,0.731707,0.676829,0.635838,0.646341,0.707317,0.707317,0.054878,0.744856,0.786585,0.869681,0.728205
makeDB,0.861111,0.905350,0.855967,0.621399,0.753086,0.757202,0.753086,0.851852,0.851852,0.765432,0.045267,0.699588,0.837766,0.687243
writeDB,0.863889,0.861111,0.826389,0.538961,0.756944,0.786127,0.736111,0.805556,0.805556,0.798781,0.674897,0.027778,0.875000,0.651282
crawl_dir,0.768617,0.925532,0.922872,0.853723,0.832447,0.848404,0.851064,0.901596,0.901596,0.875000,0.837766,0.888298,0.034574,0.856383
main,0.863889,0.882051,0.841026,0.661538,0.758974,0.764103,0.764103,0.841026,0.835897,0.748718,0.666667,0.646154,0.843085,0.046154
